source_file,country,country_justification,country_alpha_3_code,country_alpha_3_code_justification,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification,error
"HIV_2019rj-hiv-web Translated.pdf","Estonia","","EST","","not specified","not found","yes","Table 6 states 'Documented hepatitis B virus infection status (HBsAg, HBsAb, HBcAb) and vaccination status' under 'Clinically suitable' for PrEP initiation.","yes","Table 6 states 'Documented hepatitis B virus infection status (HBsAg, HBsAb, HBcAb) and vaccination status' under 'Clinically suitable' for PrEP initiation.","not specified","not found","yes","Table 6 mentions 'Recent bacterial STIs' as an important factor for HIV infection risk, and 'Assess the symptoms of STIs, test for bacterial STIs every 3 to 6 months' under 'Others services', which implies screening for STIs including syphilis.","yes","Table 6 mentions 'Recent bacterial STIs' as an important factor for HIV infection risk, and 'Assess the symptoms of STIs, test for bacterial STIs every 3 to 6 months' under 'Others services', which implies screening for STIs including gonorrhea.","yes","Table 6 mentions 'Recent bacterial STIs' as an important factor for HIV infection risk, and 'Assess the symptoms of STIs, test for bacterial STIs every 3 to 6 months' under 'Others services', which implies screening for STIs including Chlamydia.",""
"Iceland_PrEP_guidelines_2018.is.en.pdf","Iceland","","ISL","","no","not found","yes","Page 1, First come: 'Antibody testing against HIV, syphilis and hepatitis B and C'","no","not found","no","not found","yes","Page 1, First come: 'Antibody testing against HIV, syphilis and hepatitis B and C'","yes","Page 3, Booked return times: 'Chlamydia and gonorrhea'","yes","Page 3, Booked return times: 'Chlamydia and gonorrhea'",""
"Ireland practical-prep-guidance-december-2017.pdf","Ireland","The document title and content explicitly mention Ireland.","IRL","The ISO 3166-1 alpha-3 code for Ireland is IRL.","yes","Page 3, Section 2.1 mentions 'Partner notification' as part of the suite of services for individuals on PrEP. Page 21, 'Stopping HIV PrEP', mentions 'discuss any plans to stop PrEP with any regular sex partner(s)'.","yes","Page 8, Section 4.2.1, mentions 'HBV testing, directed by history'. Page 18, Section 3, states 'It is essential to test for hepatitis B'.","yes","Page 8, Section 4.2.1, mentions 'Start HBV vaccination if immunity unknown'. Page 19, Section 4, recommends 'Hepatitis A and B vaccination is recommended for men who have sex with men (MSM) and people who inject drugs (PWID)'.","yes","Page 7, Section 4.1, lists 'Hepatitis A, B (all) and HPV (<26 years)' under vaccination needs. Page 8, Section 4.2.1 lists 'HAV testing and subsequent vaccination if indicated'.","yes","Page 8, Section 4.2.1, states 'Syphilis serology'. Page 19, Section 6, states 'Check for other sexually transmitted infections (STIs) This includes testing for syphilis, chlamydia, gonorrhoea and Hepatitis C.'","yes","Page 8, Section 4.2.1, mentions 'Chlamydia and Gonorrhea NAAT testing'. Page 19, Section 6, states 'Check for other sexually transmitted infections (STIs) This includes testing for syphilis, chlamydia, gonorrhoea and Hepatitis C.'","yes","Page 8, Section 4.2.1, mentions 'Chlamydia and Gonorrhea NAAT testing'. Page 19, Section 6, states 'Check for other sexually transmitted infections (STIs) This includes testing for syphilis, chlamydia, gonorrhoea and Hepatitis C.'",""
"Israel PrEP guidance.PDF","Israel","","ISR","","no","not found","yes","Page 8, Table: 'סרולוגיה להפטיטיס B' - 'לפני תחילת טיפול ובאופן תקופתי בהעדר סימפטומים קליניים'","yes","Page 8, Table: 'סרולוגיה להפטיטיס B' - 'HBsAb( מטופל שלא חוסן. להפנות לקבלת חיסון'","no","not found","yes","Page 8, Table: 'בדיקות מחלות מין (עגבת, זיבה וכלמידה)' - 'לפני תחילת טיפול וכל שלושה חודשים במהלכו'","yes","Page 8, Table: 'בדיקות מחלות מין (עגבת, זיבה וכלמידה)' - 'לפני תחילת טיפול וכל שלושה חודשים במהלכו'","yes","Page 8, Table: 'בדיקות מחלות מין (עגבת, זיבה וכלמידה)' - 'לפני תחילת טיפול וכל שלושה חודשים במהלכו'",""
"Italy_Truvada Regulatory Approval_2019.it.en.pdf","Italy","Document name and contact information for local representative in Italy.","ITA","Country alpha-3 code for Italy.","not specified","not found","yes","Page 4, paragraph 3: 'Find out if you are infected with the hepatitis B virus (HBV) before you start taking Truvada.'","not specified","not found","not specified","not found","yes","Page 3, paragraph 7: 'Get tested for other sexually transmitted infections such as syphilis and gonorrhea.'","yes","Page 3, paragraph 7: 'Get tested for other sexually transmitted infections such as syphilis and gonorrhea.'","not specified","not found",""
"KGZ HIV Guidelines ENG.pdf","Kyrgyzstan","","KGZ","","not specified","not found","yes","Page 12, 'Test for HBV infection. If possible, ... The HBsAg test should be repeated every 12 months...'","no","not specified","no","not specified","yes","Page 11, 'Clinical screening for STIs. ... for the presence of genital / ulcers, discharge from the urethra, vaginal discharge, enlargement of the inguinal lymph nodes, swelling or pain in the scrotum, pain in the lower abdomen.'","yes","Page 11, 'Clinical screening for STIs. ... for the presence of genital / ulcers, discharge from the urethra, vaginal discharge, enlargement of the inguinal lymph nodes, swelling or pain in the scrotum, pain in the lower abdomen.'","yes","Page 11, 'Clinical screening for STIs. ... for the presence of genital / ulcers, discharge from the urethra, vaginal discharge, enlargement of the inguinal lymph nodes, swelling or pain in the scrotum, pain in the lower abdomen.'",""
"Poland_Report on the implementation of national HIV program_PART 2_Polish.pdf","Poland","","POL","","not specified","The document discusses the implementation of a national HIV prevention program and does not specifically mention partner management for STIs in the context of PrEP.","not specified","The document focuses on the overall implementation of the national HIV program and does not provide specific details on HBV screening for HBsAg in relation to PrEP.","not specified","The document does not mention vaccination for Hepatitis B in the context of PrEP.","not specified","The document does not mention vaccination for HPV in the context of PrEP.","not specified","The document details the financial expenditures and participating entities in the national HIV program but does not specify syphilis screening recommendations for PrEP users.","not specified","The document outlines the structure and funding of the national HIV program without detailing specific STI screening recommendations like Neisseria gonorrhoeae for PrEP.","not specified","The document provides an overview of the national HIV program's implementation and financial aspects but does not include information on Chlamydia trachomatis screening for PrEP users.",""
"SLO HIV NSP 2017-2025 ENG.pdf","Slovenia","","SVN","","no","The document mentions informing contacts of people living with HIV, but not specifically for PrEP users or STI partner management in the context of PrEP.","no","The document discusses testing for HIV and other infections, but does not specifically mention HBV screening for PrEP users.","no","The document does not mention Hepatitis B vaccination recommendations for PrEP users.","no","The document does not mention HPV vaccination recommendations for PrEP users.","no","The document mentions screening for sexually transmitted infections in general, but not specifically syphilis screening in the context of PrEP.","no","The document mentions screening for sexually transmitted infections in general, but not specifically Neisseria gonorrhoeae screening in the context of PrEP.","no","The document mentions screening for sexually transmitted infections in general, but not specifically Chlamydia trachomatis screening in the context of PrEP.",""
"SVK PrEP Guidelines ENG.pdf","Slovak Republic","","SVK","","no","The document does not mention partner testing or treatment in the context of STI management for PrEP users.","yes","Page 14, section 'Hepatitis B and C infection – individuals considering PrEP should undergo basic testing for hepatitis B virus (HBV) and hepatitis C virus (HCV). Hepatitis B infection individuals should be screened for HBV infection before starting PrEP treatment. This includes testing for hepatitis B surface antigen (HBsAg), hepatitis B core antibodies (anti-HBc) and hepatitis B surface antibodies (anti-HBs).'","yes","Page 14, section 'Hepatitis B infection ... Persons with no signs of prior infection (i.e., Anti-HBs, anti-HBc, HBsAg-negative) should be vaccinated against HBV, as individuals who engage in high-risk sexual behavior and drug use are at increased risk of acquiring hepatitis B.'","no","The document does not mention HPV vaccination.","yes","Page 9, Table 3 'Recommendations for STI screening by sex and population' includes syphilis screening for various populations including those on PrEP. Page 10 also mentions syphilis screening for MSM. Page 8 mentions 'STI screening – Patients considering PrEP should be screened for common bacterial STIs...'. Specifically mentions syphilis.","yes","Page 9, Table 3 'Recommendations for STI screening by sex and population' includes gonorrhoea screening for various populations including those on PrEP. Page 10 also mentions gonorrhoea screening for MSM. Page 8 mentions 'STI screening – Patients considering PrEP should be screened for common bacterial STIs...'. Specifically mentions gonorrhea.","yes","Page 9, Table 3 'Recommendations for STI screening by sex and population' includes chlamydia screening for various populations including those on PrEP. Page 10 also mentions chlamydia screening for MSM. Page 8 mentions 'STI screening – Patients considering PrEP should be screened for common bacterial STIs...'. Specifically mentions chlamydia.",""
"Canada_PrEP guidelines 2017.pdf","Canada","The document mentions 'New HIV infections occur every year in Canada' on page 1 and refers to 'Canadian guidelines' in the title.","CAN","The document title and content clearly indicate Canada as the country of origin.","not specified","The document discusses STI screening for PrEP users but does not explicitly mention partner management for STIs other than HIV in the context of PrEP.","yes","Page 5 mentions 'Hepatitis B screen (surface antigen, surface antibody, core antibody)†' at baseline for PrEP users.","yes","Page 5 states 'Hepatitis A and/or B vaccine should be initiated in unvaccinated individuals' for PrEP users.","not specified","The document does not mention HPV vaccination for PrEP users.","yes","Page 6 mentions 'Syphilis serologyś' at baseline and quarterly follow-up for PrEP users.","yes","Page 6 mentions 'Screening for gonorrhea and chlamydiaş' at baseline and quarterly follow-up for PrEP users.","yes","Page 6 mentions 'Screening for gonorrhea and chlamydiaş' at baseline and quarterly follow-up for PrEP users.",""
"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf","El Salvador","","SLV","","not specified","not found","yes","Page 26, it is stated that 'The profile includes tests for STIs (HIV, Syphilis, Hepatitis B and C, Chlamydia t., Neisseria g., Herpes virus and VPH), tests for the evaluation of kidney function (serum creatinine) and liver function (transaminases ALAT and ASAT) and other immunological tests (pregnancy test) as clinically indicated.' HBV screening is therefore included.","yes","Page 26, states 'Establish the vaccination status for Hepatitis B virus.'","not specified","not found","yes","Page 26, it is stated that 'The profile includes tests for STIs (HIV, Syphilis, Hepatitis B and C, Chlamydia t., Neisseria g., Herpes virus and VPH)...' Syphilis screening is therefore included.","yes","Page 26, it is stated that 'The profile includes tests for STIs (HIV, Syphilis, Hepatitis B and C, Chlamydia t., Neisseria g., Herpes virus and VPH)...' NG screening is therefore included.","yes","Page 26, it is stated that 'The profile includes tests for STIs (HIV, Syphilis, Hepatitis B and C, Chlamydia t., Neisseria g., Herpes virus and VPH)...' CT screening is therefore included.",""
"Guia_PreProfilaxis_VIH_Uruguay_2020.pdf","Uruguay","","URY","","no","not found","yes","Page 12, Table 8, Examen: Hepatitis B, Método: HBsAg, HBsAc, HbcAc.","yes","Page 4, paragraph 1: 'Asimismo, se deben revisar la historia de vacunas de virus de hepatitis B (VHB)...e indicarlas según la situación.'","yes","Page 4, paragraph 1: 'Asimismo, se deben revisar la historia de vacunas de virus de...papiloma humano (HPV) e indicarlas según la situación.'","yes","Page 12, Table 8, Examen: Sífilis, Método: Test rápido. Con antecedentes de sífilis: VDRL/RPR.","yes","Page 3, paragraph 6: '...se debe realizar testeo y tratamiento de sífilis, Chlamydia y gonorrea.'","yes","Page 3, paragraph 6: '...se debe realizar testeo y tratamiento de sífilis, Chlamydia y gonorrea.'",""
"Mexico Gu_aARV_2019_09Noviembre.pdf","Mexico","","MEX","","yes","Page 85 mentions 'relaciones sexuales vaginales o anales sin condón con más de una persona, diagnóstico de ITS o haber utilizado PEP' as risk factors for PrEP. Page 93 mentions counseling on safe sex practices, eliminating alcohol, illicit drug use and smoking for women considering pregnancy and receiving TAR. Page 93 also mentions 'sexo seguro' and 'uso de condón' in the context of pregnant women with HIV.","yes","Page 86 recommends performing a Hepatitis B surface antigen (HBsAg) test before starting PrEP.","yes","Page 86 recommends performing a Hepatitis B surface antigen (HBsAg) test before starting PrEP. If HBsAg is positive and ALT is elevated, it may benefit from long-term treatment for VHB. This implies vaccination status is considered.","yes","Page 117 mentions 'Vacuna contra papilomavirus > 9 años de edad' for girls and boys. Page 118 mentions 'PAPILOMA HUMANO Papiloma humano A partir de los 9 años, 3 dosis: 0, 1, ó 2 y 6 meses'.","yes","Page 87 mentions 'VDRL Diagnóstico y tratamiento de sífilis' under 'Intervención' for PrEP consultation.","yes","Page 98, Table II-L mentions 'Gonorrea y Clamidia' under 'Enfermedad a prevenir' for management of STIs in children and adolescents.","yes","Page 98, Table II-L mentions 'Gonorrea y Clamidia' under 'Enfermedad a prevenir' for management of STIs in children and adolescents.",""
"PrEP Guyana Guidelines Final.pdf","Guyana","Document title and content reference the Ministry of Health/National AIDS Programme Secretariat (MOH/NAPS)-GUYANA.","GUY","Extracted from the country name 'Guyana'.","not specified","The document does not mention partner management for STIs in the context of PrEP users.","yes","Page 21, 'Hepatitis B test: It is important to know if the patient has HBV. If a person tests positive for chronic HBV infection, TDF-FTC can be used as both PrEP and as a treatment for HBV.' Also, Page 22, Table 1 mentions 'HBV (Hepatitis B surface antigen (HBsAg))' as an initial and follow-up test.","yes","Page 21, 'Hepatitis B test: ... If HBsAg is not detected, consider vaccination.'","yes","Page 59, 'Pregnancy testing: Depending on local guidelines, epidemiology and populations, consider vaccination for human papilloma virus.'","yes","Page 21, 'Tests for Other Sexually Transmitted Infections such as for Syphilis... All persons should be screened...'. Also, Page 22, Table 1 mentions 'Syphilis (treponemal antibodies)' and 'Syphilis (rapid plasma reagintiter)' as initial and follow-up tests. Page 33, point 12 states 'All exposed persons should be screened for sexually transmitted infections such as Chlamydia, Gonorrhoea and Syphilis.'","yes","Page 21, 'Tests for Other Sexually Transmitted Infections such as ... Neisseria Gonorrhoea ... All persons should be screened...'. Also, Page 22, Table 1 mentions 'Neisseria gonorrhoeae (GC)' as an initial and follow-up test. Page 33, point 12 states 'All exposed persons should be screened for sexually transmitted infections such as Chlamydia, Gonorrhoea and Syphilis.'","yes","Page 21, 'Tests for Other Sexually Transmitted Infections such as ... Chlamydia Trachomatis ... All persons should be screened...'. Also, Page 22, Table 1 mentions 'Chlamydia trachomatis (CT)' as an initial and follow-up test. Page 33, point 12 states 'All exposed persons should be screened for sexually transmitted infections such as Chlamydia, Gonorrhoea and Syphilis.'",""
"protocolo_clinico_profilaxia_prep.pdf","Brazil","Page 12, paragraph 2","BRA","Page 12, paragraph 2","no","The document does not mention partner management for STIs (excluding HIV) for PrEP users.","yes","Page 19, paragraph 3","yes","Page 20, paragraph 2","no","The document does not mention HPV vaccination recommendations for PrEP users.","yes","Page 19, paragraph 1","yes","Page 19, paragraph 1","yes","Page 19, paragraph 1",""
