country_alpha_3_code,country,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification
EST,Estonia,no,"HIV_2019rj-hiv-web Translated.pdf: The document discusses assessing risk from sexual partners (e.g., their HIV status) for the individual considering PrEP (Page 13, Key recommendation 3; Page 17, paragraph 3; Page 55, Table 6). It mentions 'Recent bacterial STIs' as a risk factor for the PrEP user, but does not specify partner testing, treatment, or management services for non-HIV STIs.",yes,"HIV_2019rj-hiv-web Translated.pdf: Page 55, Table 6, 'Clinically suitable' section: 'Documented hepatitis B virus infection status (HBsAg, HBsAb, HBcAb)' is required before initiating PrEP.",ERR: yes (REF: no),"HIV_2019rj-hiv-web Translated.pdf: Page 55, Table 6, 'Clinically suitable' section: 'Documented hepatitis B virus infection status (HBsAg, HBsAb, HBcAb) and vaccination status' implies a recommendation for HBV vaccination at PrEP initiation.",no,HIV_2019rj-hiv-web Translated.pdf: Not found in the context of PrEP services/use.,no,"HIV_2019rj-hiv-web Translated.pdf: Page 56, Table 6, 'Others services' section, 'Regular follow-up visits': 'test for bacterial STIs every 3 to 6 months' is mentioned for PrEP follow-up, but it does not specify 'Treponema pallidum' or 'syphilis' for PrEP. Specific pathogen testing for syphilis (Treponema pallidum) is mentioned only for PEP in Table 7 (Page 57), which is explicitly excluded for PrEP.",no,"HIV_2019rj-hiv-web Translated.pdf: Page 56, Table 6, 'Others services' section, 'Regular follow-up visits': 'test for bacterial STIs every 3 to 6 months' is mentioned for PrEP follow-up, but it does not specify 'Neisseria gonorrhoeae' or 'gonorrhoea' for PrEP. Specific pathogen testing for gonorrhoea (N. gonorrhoeae DNA) is mentioned only for PEP in Table 7 (Page 57), which is explicitly excluded for PrEP.",no,"HIV_2019rj-hiv-web Translated.pdf: Page 56, Table 6, 'Others services' section, 'Regular follow-up visits': 'test for bacterial STIs every 3 to 6 months' is mentioned for PrEP follow-up, but it does not specify 'Chlamydia trachomatis' or 'Chlamydia' for PrEP. Specific pathogen testing for chlamydia (C. trachomatis DNA) is mentioned only for PEP in Table 7 (Page 57), which is explicitly excluded for PrEP."
SWZ,Eswatini,no,"Eswatini  PrEP Implementation guide.pdf: The document mentions disclosure to partner/family (page 13) and serodiscordant couples where one partner is HIV-positive (page 2, page 17), but does not mention partner testing, treatment, or management specifically for other STIs (excluding HIV).",yes,"Eswatini  PrEP Implementation guide.pdf: Page 12, 'PrEP minimum package' lists 'Hepatitis screening, creatinine clearance monitoring'. Page 13, 'INITIATION STEP' table, 'Hepatitis B surface antigen' section, discusses HBsAg testing. Page 25, 'Annex: Algorithm for PrEP initiation' includes 'Take baseline HBsAg test'.",yes,"Eswatini  PrEP Implementation guide.pdf: Page 13, 'INITIATION STEP' table, 'Hepatitis B surface antigen' section states: 'HBsAg negative: Offer hepatitis B vaccination if not previously completed at 0, 1, and 6 months (as per national hepatitis guidelines).'",no,Eswatini  PrEP Implementation guide.pdf: Not found.,no,"Eswatini  PrEP Implementation guide.pdf: The document mentions 'STI screening, diagnosis, and treatment' generally (page 12, page 19), but does not specify screening for syphilis or Treponema pallidum.",no,"Eswatini  PrEP Implementation guide.pdf: The document mentions 'STI screening, diagnosis, and treatment' generally (page 12, page 19), but does not specify screening for Neisseria gonorrhoeae or gonorrhoea.",no,"Eswatini  PrEP Implementation guide.pdf: The document mentions 'STI screening, diagnosis, and treatment' generally (page 12, page 19), but does not specify screening for Chlamydia trachomatis or Chlamydia."
ETH,Ethiopia,ERR: yes (REF: no),"PrEP Implementation manual (1).pdf: Page 14, Table 2, 'Counseling': 'To assess intimate partner violence and gender-based violence.'; Page 15, Table 3, 'Counseling': 'To assess intimate partner violence and gender based violence.'",yes,"PrEP Implementation manual (1).pdf: Page 12, 'Other important considerations': 'Testing for Hepatitis – B is mandatory before initiation and if a client is positive for Hepatitis B infection...'; Page 14, Table 2, 'Hepatitis B surface antigen: If negative, provide PrEP. If positive, refer for further testing...'; Page 16, Provider Checklist for Initial PrEP visit: 'Hepatitis B surface antigen (HBsAg)'. Page 19, Figure: PrEP Screening and Initiation Algorithm: 'Perform base line tests: HBsAg...'",no,Justification not provided,no,Justification not provided,no,"PrEP Implementation manual (1).pdf: Page 14, Table 2, 'Screening for sexually transmitted infection (STI)': 'To diagnose and treat STI (syndromic or diagnostic STI testing, depending on local guidelines).'; No specific pathogen like syphilis is mentioned.",no,"PrEP Implementation manual (1).pdf: Page 14, Table 2, 'Screening for sexually transmitted infection (STI)': 'To diagnose and treat STI (syndromic or diagnostic STI testing, depending on local guidelines).'; No specific pathogen like Neisseria gonorrhoeae is mentioned.",no,"PrEP Implementation manual (1).pdf: Page 14, Table 2, 'Screening for sexually transmitted infection (STI)': 'To diagnose and treat STI (syndromic or diagnostic STI testing, depending on local guidelines).'; No specific pathogen like Chlamydia trachomatis is mentioned."
FJI,Fiji,no,Justification not provided,yes,"HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: Page 107, 'Test for other STIs, and Hepatis B'; Page 114, 'Test for other STI (e.g. syphilis and hepatitis)'",no,HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: not found in PrEP specific sections,no,Justification not provided,yes,"HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: Page 114, 'Test for other STI (e.g. syphilis and hepatitis)'; Page 115, '3 monthly blood tests for HIV, STI screening and pregnancy test'",no,"HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: only general 'other STIs' mentioned, not specific pathogen for PrEP users",no,"HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: only general 'other STIs' mentioned, not specific pathogen for PrEP users"
FIN,Finland,yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 16, paragraph 1: 'Both hepatitis A and B vaccines are available free of charge in public health, including injecting drug users, their loved ones, such as family members, sexual partners and partners, and men who have sex with men.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, 'HEPATITIS B STUDIES': 'S-HBsAg' is listed for 'BEFORE GETTING STARTED' and '12 KK'; Page 16, paragraph 1: 'Hepatitis A, B, and C antibodies and hepatitis B carrier (HbsAg) should be determined before initiating therapy.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, 'HEPATITIS B STUDIES': 'vaccination is recommended in the absence of protection'; Page 16, paragraph 1: 'Hepatitis A and B vaccination is recommended if a person is not protected against these diseases.'",no,Justification not provided,yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, 'SYPHILIS': 'S-TrpaAb' is listed for 'BEFORE GETTING STARTED', '3 MONTHS', and 'OR END AFTER'; Page 16, paragraph 3: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, 'KLAMYDIA AND TYPPIR': 'CtGcNhO' (Gc refers to Gonorrhea, Typpir is likely a typo/OCR error for Tippuri=Gonorrhea) is listed for 'BEFORE GETTING STARTED', '3 MONTHS', and 'OR END AFTER'; Page 15, footnote **: 'In addition to the chlamydia and gonorrhea urine sample, a sample must be taken from the throat if there has been oral sex and from the anus if there has been anal sex'; Page 16, paragraph 3: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, 'KLAMYDIA AND TYPPIR': 'CtGcNhO' (Ct refers to Chlamydia) is listed for 'BEFORE GETTING STARTED', '3 MONTHS', and 'OR END AFTER'; Page 15, footnote **: 'In addition to the chlamydia and gonorrhea urine sample, a sample must be taken from the throat if there has been oral sex and from the anus if there has been anal sex'; Page 16, paragraph 3: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'"
FRA,France,no,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: While 'partner notification' is mentioned in general contexts, there is no specific recommendation for partner management, services, or contact tracing for STIs in the context of PrEP users' partners.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 25, 'Methods of administration, monitoring and support for PrEP users', 'First consultation' section: 'The standard laboratory work-up should include tests for HIV, HAV, HBV, HCV and other STIs'. This is further detailed in Table 4 on Page 27, which lists 'HBV serology' for PrEP initiation and follow-up.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 15, Box 3 ('Proposal for a screening strategy for sexually transmitted infections...'): 'HBV serologies and VHA followed by vaccination in case of negative serologies' for 'High risk men who have sex with men and transgender people', who are explicitly identified as PrEP target populations on page 24. This implies that if HBV serology is negative for PrEP users, vaccination is recommended.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 29, 'Prevention of sexually transmitted infections through vaccination', 'HPV vaccination' section: 'access to the HPV vaccine should be systematically offered and available in CeGIDDs... to MSM up to the age of 26 years'. CeGIDDs are the primary centers for PrEP prescription, and MSM are a key target for PrEP.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 25, 'Methods of administration, monitoring and support for PrEP users', 'First consultation' section: 'The standard laboratory work-up should include tests for HIV, HAV, HBV, HCV and other STIs'. Table 4 on Page 27 specifies 'STI screening $' with footnote: '$ gonococcal infection, chlamydia, syphilis'.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 25, 'Methods of administration, monitoring and support for PrEP users', 'First consultation' section: 'The standard laboratory work-up should include tests for HIV, HAV, HBV, HCV and other STIs'. Table 4 on Page 27 specifies 'STI screening $' with footnote: '$ gonococcal infection, chlamydia, syphilis'.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 25, 'Methods of administration, monitoring and support for PrEP users', 'First consultation' section: 'The standard laboratory work-up should include tests for HIV, HAV, HBV, HCV and other STIs'. Table 4 on Page 27 specifies 'STI screening $' with footnote: '$ gonococcal infection, chlamydia, syphilis'."
GEO,Georgia,no,"GEO PEP and PrEP Guidelines.pdf: The document discusses individual risk assessment, screening, and counseling for STIs for PrEP users, but does not explicitly mention partner(s) testing, treatment, management, services, or contact tracing in the context of one partner having an STI (excluding HIV).",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11, Section 2.1.3 states: 'HBV serological status must be determined before PrEP initiation.' Page 17, Table 5, lists 'HBV serology (HBsAg, anti-HBc, anti-HBs)' for 'Initial Phase' and '6 Months' and '12 Months' follow-up.",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11, Section 2.1.3 states: 'If HBV seromarkers are not detected, beneficiary should be offered hepatitis B vaccination'. Page 12, Table 1, under 'Meeting clinical criteria before PrEP initiation' lists 'Documented negative hepatitis B status and vaccination'. Page 29, Section 3.1.7.4 states: 'People who are especially vulnerable to HBV infection should be vaccinated'.",no,GEO PEP and PrEP Guidelines.pdf: Not found in the document.,yes,"GEO PEP and PrEP Guidelines.pdf: Page 11, Section 2.1.3 states: 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes a serologic test for syphilis'. Page 17, Table 5, lists 'Serological test for syphilis' for 'Initial Phase' and '6 Months' and '12 Months' follow-up.",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11, Section 2.1.3 states: 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes ... nucleic acid-based molecular tests for gonorrhea and chlamydia'. Page 17, Table 5, lists 'Nucleic acid-based molecular test for gonorrhea and chlamydia' for 'Initial Phase' and '6 Months' and '12 Months' follow-up.",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11, Section 2.1.3 states: 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes ... nucleic acid-based molecular tests for gonorrhea and chlamydia'. Page 17, Table 5, lists 'Nucleic acid-based molecular test for gonorrhea and chlamydia' for 'Initial Phase' and '6 Months' and '12 Months' follow-up."
DEU,Germany,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 26, 'Abstimmung des Leitlinien-Gesamttexts' section, last sentence: 'Eine Partner*innen-Mitbehandlung wird empfohlen.'",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Empfehlung 1.6, third bullet point: 'Ausschluss einer replikativen Hepatitis-B-Infektion mittels Serologie (HBs-Antigen, anti-HBc-Antikörper)'; Page 19, Table 2.1, row 'Hepatitis B*': 'X' for 'VOR PrEP Beginn', and '*=antiHBsAk, HBsAg, antiHBcAk'.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Empfehlung 1.6, third bullet point: 'Prüfung der HBV-Immunität (HBs-Antikörper, ggfs. Impfung gegen HBV)'; Page 16, Kommentar for Empfehlung 1.7, second paragraph: 'Die Prüfung der HBV-Immunität bei Abwesenheit einer Infektion sollte Anlass zur Überprüfung des gesamten Impfstatus und ggfs. der Komplettierung des Impfschutzes auch bezüglich HAV bei MSM sein, insbesondere aufgrund von bekannten Ausbruchssituationen in Europa [17,18].'",no,Justification not provided,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 19, Table 2.1, row 'Lues-Serologie': 'X' for 'VOR PrEP Beginn' and 'Alle 3 Monate' for 'Während PrEP'; Page 21, Kommentar for Empfehlung 2.1, third paragraph: 'Dazu werden regelmäßige 3-monatliche serologische Untersuchungen auf Syphilis... empfohlen.'",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 19, Table 2.1, row 'Gonorrhoe-NAAT**': 'X' for 'VOR PrEP Beginn' and 'Alle 3-6 Monate' for 'Während PrEP', with '**pharyngeal, anorektal, genital'; Page 21, Kommentar for Empfehlung 2.1, third paragraph: 'Abstrichuntersuchungen bei asymptomatischen PrEP-Nutzer*innen auf Chlamydia trachomatis und Neisseria gonorrhoeae (pharyngeal, genital und anorektal; ggfs. pooling möglich) werden alle 3-6 Monate empfohlen.'",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 19, Table 2.1, row 'Chlamydien-NAAT**': 'X' for 'VOR PrEP Beginn' and 'Alle 3-6 Monate' for 'Während PrEP', with '**pharyngeal, anorektal, genital'; Page 21, Kommentar for Empfehlung 2.1, third paragraph: 'Abstrichuntersuchungen bei asymptomatischen PrEP-Nutzer*innen auf Chlamydia trachomatis und Neisseria gonorrhoeae (pharyngeal, genital und anorektal; ggfs. pooling möglich) werden alle 3-6 Monate empfohlen.'"
GHA,Ghana,no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: The PrEP section (Chapter Ten, pages 145-151) mentions 'STI prevention and management' broadly as part of the PrEP package (page 146), and family/partner testing for HIV (page 17, 38, 39), but does not explicitly detail partner(s) testing, treatment, management, services, or contact tracing for STIs (excluding HIV) in the context of PrEP users.",yes,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: Page 149, 'Summary of Pre-exposure prophylaxis visits and procedures': 'Conduct relevant laboratory tests—HIV test, Creatinine Clearance and HBsAg' and '3 monthly afterwards—HIV test, Pregnancy test, HBsAg (at 6 months only).'",no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: Hepatitis B vaccination is mentioned for PEP survivors (page 158), but not explicitly for PrEP users.",no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: HPV vaccination is recommended for adolescents among PLHIV (page 184), but not specifically for PrEP users or at PrEP initiation.",yes,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: Page 149, 'Summary of Pre-exposure prophylaxis visits and procedures': '6 monthly afterwards—CrCl, STI symptom screening, rapid syphilis test and HIV test.'",no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: The document mentions 'STI symptom screening' (page 149) and 'STI treatment if indicated' (page 149) in the PrEP section, but does not specifically name Neisseria gonorrhoeae or gonorrhoea as a pathogen for screening.",no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: The document mentions 'STI symptom screening' (page 149) and 'STI treatment if indicated' (page 149) in the PrEP section, but does not specifically name Chlamydia trachomatis or Chlamydia as a pathogen for screening."
GUY,Guyana,ERR: yes (REF: no),"PrEP Guyana Guidelines Final.pdf: Page 51, Annex 1, 'discussing HIV and STI status and/or testing with partner'",yes,"PrEP Guyana Guidelines Final.pdf: Page 21, 'Hepatitis B test'; Page 22, Table 1: Laboratory testing schedule at baseline and follow up, 'HBV (Hepatitis B surface antigen (HBsAg))'",yes,"PrEP Guyana Guidelines Final.pdf: Page 21, 'Hepatitis B test' ('If HBsAg is not detected, consider vaccination.'); Page 22, Table 1: Laboratory testing schedule at baseline and follow up, 'HBV (Hepatitis B surface antigen (HBsAg))' ('If HBsAg is not detected, consider vaccination.')",ERR: yes (REF: no),"PrEP Guyana Guidelines Final.pdf: Page 59, Annex 6: PROCEDURES WHEN INITIATING PREP (FIRST VISIT), 'Review vaccination history... consider vaccination for human papilloma virus.'",yes,"PrEP Guyana Guidelines Final.pdf: Page 21, 'Tests for Other Sexually Transmitted Infections such as for Syphilis'; Page 22, Table 1: Laboratory testing schedule at baseline and follow up, 'Syphilis (treponemal antibodies)' and 'Syphilis (rapid plasma reagintiter)'",yes,"PrEP Guyana Guidelines Final.pdf: Page 21, 'Tests for Other Sexually Transmitted Infections such as for ... Neisseria Gonorrhoea'; Page 22, Table 1: Laboratory testing schedule at baseline and follow up, 'Neisseria gonorrhoeae (GC)'",yes,"PrEP Guyana Guidelines Final.pdf: Page 21, 'Tests for Other Sexually Transmitted Infections such as for ... Chlamydia Trachomatis'; Page 22, Table 1: Laboratory testing schedule at baseline and follow up, 'Chlamydia trachomatis (CT)'"
HTI,Haiti,no,"PrEP_ Haiti Guidelines Final_.pdf: The document mentions partner management in the context of HIV (Page 9, Section 3.2) but not for other STIs (excluding HIV).",yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 10, Section 4: 'Antigène HBs si disponible (antigène de surface de l'hépatite B)'; Page 11, Section 6: 'Dépistage du VIH, de la Syphilis et de l'Hépatite B (antigène HBs)'; Page 19, ANNEXE 4, section F: 'Date du test AgHBs'",ERR: yes (REF: no),"PrEP_ Haiti Guidelines Final_.pdf: Page 19, ANNEXE 4, section F: 'Si le résultat est positif le patient suit-il un traitement? vaccination VHB ☐ Oui ☐ Non ☐ Inconnu' and 'Si le résultat est négatif, quelles sont les dates de [vaccination VHB] qui ont été fournies'",no,"PrEP_ Haiti Guidelines Final_.pdf: Page 9, Section 3.2 mentions 'services de screening et de prise en charge des maladies sexuellement transmissibles comme la syphilis, la gonorrhée, le chlamydia, Human Papilloma Virus etc.' which refers to screening and management, not specifically vaccination for HPV. No direct recommendation for HPV vaccination for PrEP users was found.",yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 9, Section 3.2: 'l'institution sanitaire puisse offrir les services de screening et de prise en charge des maladies sexuellement transmissibles comme la syphilis'; Page 10, Section 4: 'Tests de dépistage rapide du VIH et de la syphilis'; Page 11, Section 6: 'Dépistage du VIH, de la Syphilis...'; Page 20, ANNEXE 4, Section G: 'VDRL/test de dépistage de la syphilis'",yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 9, Section 3.2: 'l'institution sanitaire puisse offrir les services de screening et de prise en charge des maladies sexuellement transmissibles comme la... gonorrhée'; Page 11, Section 6: 'Effectuer des tests d'IST recommandés pour toute personne sexuellement active (syphilis, gonorrhée, chlamydia).'",yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 9, Section 3.2: 'l'institution sanitaire puisse offrir les services de screening et de prise en charge des maladies sexuellement transmissibles comme la... chlamydia'; Page 11, Section 6: 'Effectuer des tests d'IST recommandés pour toute personne sexuellement active (syphilis, gonorrhée, chlamydia).'"
HND,Honduras,no,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: The document mentions 'Parejas serodiscordantes' (page 9, 14, 20) only in the context of HIV status and risk, not for partner management, testing, or treatment of other STIs. No specific mention of contact tracing or partner services for STIs other than HIV.",yes,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Figure 1 (Page 13) 'Intervenciones de prevención combinada' lists 'Cribado y tratamiento de ITS' and 'Vacunación de VHA, VHB, VPH'. Section 7.7.1.2.6 (Page 22) 'Exámenes laboratoriales adicionales' states: 'Antígeno de superficie del virus de Hepatitis B (HBsAg). Si los resultados son negativos para el VHB, considerar la vacunación contra el VHB.'. Anexo 2 (Page 41) 'Diagrama de flujo' lists 'Pruebas diagnósticas: VHB, VHC, Sífilis, otras ITS'. Anexo 6 (Page 45) 'Acciones a desarrollar' table includes 'Prueba diagnóstica para Hepatitis B' for initial and all follow-up consultations.",yes,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Figure 1 (Page 13) 'Intervenciones de prevención combinada' lists 'Vacunación de VHA, VHB, VPH'. Section 7.7.1.3.2 (Page 22) 'Manejo o referencia de ITS si procede' states: 'considerar la vacunación contra la hepatitis A y VHB... según normativa nacional vigente.'. Anexo 6 (Page 45) 'Acciones a desarrollar' table includes 'Vacunar si procede según normas vigentes.' under 'Prueba diagnóstica para Hepatitis B' column 'Consulta inicial'.",ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Figure 1 (Page 13) 'Intervenciones de prevención combinada' lists 'Vacunación de VHA, VHB, VPH'. Section 7.7.1.3.2 (Page 22) 'Manejo o referencia de ITS si procede' states: 'considerar la vacunación contra... el virus del papiloma humano (VPH) según normativa nacional vigente.'",yes,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Figure 1 (Page 13) 'Intervenciones de prevención combinada' lists 'Cribado y tratamiento de ITS'. Section 7.7.1.2.6 (Page 22) 'Exámenes laboratoriales adicionales' states: 'Prueba para diagnosticar y tratar la sífilis según normativa.'. Anexo 2 (Page 41) 'Diagrama de flujo' lists 'Pruebas diagnósticas: VHB, VHC, Sífilis, otras ITS'. Anexo 6 (Page 45) 'Acciones a desarrollar' table includes 'Pruebas diagnósticas para sífilis' for initial and all follow-up consultations. Anexo 7 (Page 46) 'Formulario' includes 'Sífilis' in the 'Infecciones de transmisión sexual (ITS)' section for 'Prueba realizada'.",ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Figure 1 (Page 13) 'Intervenciones de prevención combinada' lists 'Cribado y tratamiento de ITS'. Section 7.7.1.2.6 (Page 22) 'Exámenes laboratoriales adicionales' states: 'Otras pruebas de detección de ITS...'. Anexo 2 (Page 41) 'Diagrama de flujo' lists 'Pruebas diagnósticas: VHB, VHC, Sífilis, otras ITS'. Anexo 7 (Page 46) 'Formulario' explicitly lists 'Gonorrea' in the 'Infecciones de transmisión sexual (ITS)' section for 'Prueba realizada', implying it's covered under 'otras ITS'.",ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Figure 1 (Page 13) 'Intervenciones de prevención combinada' lists 'Cribado y tratamiento de ITS'. Section 7.7.1.2.6 (Page 22) 'Exámenes laboratoriales adicionales' states: 'Otras pruebas de detección de ITS...'. Anexo 2 (Page 41) 'Diagrama de flujo' lists 'Pruebas diagnósticas: VHB, VHC, Sífilis, otras ITS'. Anexo 7 (Page 46) 'Formulario' explicitly lists 'Clamidia' in the 'Infecciones de transmisión sexual (ITS)' section for 'Prueba realizada', implying it's covered under 'otras ITS'."
ISL,Iceland,no,Justification not provided,yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 1, 'Assessment before treatment and follow-up', 'Antibody testing against HIV, syphilis and hepatitis B and C'; Page 3, Figure 2 flowchart, 'Blood test at 11 weeks HIV, HBV, HCV, syphilis, create' and subsequent blood tests.",no,Justification not provided,no,Justification not provided,yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 1, 'Assessment before treatment and follow-up', 'Antibody testing against HIV, syphilis and hepatitis B and C'; Page 3, Figure 2 flowchart, 'Blood test at 11 weeks HIV, HBV, HCV, syphilis, create' and subsequent blood tests.",yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 1, 'Assessment before treatment and follow-up', 'Stroke from the throat, urethra and / or rectum measured by a nuclear acid test (PCR)'; Page 3, Figure 2 flowchart, 'Return on week 12 Chlamydia and gonorrhea Prescription renewal' and subsequent return visits.",yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 1, 'Assessment before treatment and follow-up', 'Stroke from the throat, urethra and / or rectum measured by a nuclear acid test (PCR)'; Page 3, Figure 2 flowchart, 'Return on week 12 Chlamydia and gonorrhea Prescription renewal' and subsequent return visits."
IND,India,yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 34, Table 'Possible causative organisms Drugs and Kits recommended for use', S.N. 1, 2, 3, 5.b, 7; Page 35, paragraph 'Whenever an STI is identified, treatment of partner/s must also be ensured.'; Page 51, 'STI Clinics' section, 'Strength' row: 'Experience with partner tracking, testing and treatment.'",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, Table 'Investigations', 'HBsAg' row: 'To assess Hepatitis B, specifically in MSM, TG/TS and IDU population'.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, Table 'Investigations', 'HBsAg' row: 'If negative, consider vaccination against hepatitis B.'; Page 39, Table 'Summary', 'Initiation' section, 'Vaccination' row: 'Hepatitis B'; Page 48, 'Hepatitis B' section: 'Hepatitis B vaccination is recommended for people at substantial risk of HBV or HIV infection.'",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 39, Table 'Summary', 'Initiation' section, 'Vaccination' row: 'Human papillomavirus vaccine (and expand on this)'.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, Table 'Investigations', 'VDRL/RPR' row: 'To rule out syphilis.'; Page 36, Table 'Investigations', 'STI screening' row: 'Screen for syphilis -RPR/VDRL Test.'; Page 35, paragraph 'In a laboratory setting...': 'RPR/VDRL might be considered for syphilis screening while NAAT test for chlamydia and gonorrhoea. ...M-PCR testing (for Tp,...)'.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 35, paragraph 'Modelling shows that more frequent testing in MSM PrEP users can result in a reduction in STI incidence – for gonorrhoea and chlamydia.'; Page 36, Table 'Investigations', 'STI screening' row: 'For MSM and TG/TS, NAAT testing is recommended for chlamydia and gonorrhoea using oral, rectal and urine specimen (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct).'",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 35, paragraph 'Modelling shows that more frequent testing in MSM PrEP users can result in a reduction in STI incidence – for gonorrhoea and chlamydia.'; Page 36, Table 'Investigations', 'STI screening' row: 'For MSM and TG/TS, NAAT testing is recommended for chlamydia and gonorrhoea using oral, rectal and urine specimen (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct).'"
