country_alpha_3_code,country,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification
KOR,Korea,no,Justification not provided,yes,"ic-49-243.pdf: Page 3, Section 4, point 3: ""Testing for hepatitis B virus (HBs Ag, HBs Ab) and hepatitis C virus (HCV Ab) should be performed before starting PrEP (AIII).""",yes,"ic-49-243.pdf: Page 3, Section 4, point 3: ""Hepatitis B virus vaccination is recommended for MSM without HBs Ab (AIII).""",no,Justification not provided,yes,"ic-49-243.pdf: Page 3, Section 5, point 7: ""Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).""",yes,"ic-49-243.pdf: Page 3, Section 5, point 7: ""Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).""",yes,"ic-49-243.pdf: Page 3, Section 5, point 7: ""Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII)."""
COD,Democratic Republic of the Congo,no,Justification not provided,yes,"DRC_National PrEP Guidelines.pdf: Page 34, section 2.4.4 states: 'Il est recommandé de rechercher l'hépatite B virale chez tout client à la PrEP : Si le test AgHBs est négatif...'. Page 43, Table 8, under 'Respect des périodes d'évaluation clinique et biologique,' it recommends 'Faire la sérologie pour l'Hépatite virale B au bilan initial puis annuellement'. Page 44, Table 9, shows 'Sérologie pour hépatite B' is performed at 'Initial' and '12 mois'.",yes,"DRC_National PrEP Guidelines.pdf: Page 34, section 2.4.4 states: 'Si le test AgHBs est négatif : vacciné contre le virus de l'hépatite B'.",no,Justification not provided,yes,"DRC_National PrEP Guidelines.pdf: Page 43, Table 8, under 'Respect des périodes d'évaluation clinique et biologique,' it recommends 'Recherche des IST (gonorrhée, chlamydia, syphilis) lors du bilan initial puis à chaque visite'. Page 44, Table 9, shows 'Sérologie de la syphilis' is performed at 'Initial' and '12 mois'.",yes,"DRC_National PrEP Guidelines.pdf: Page 43, Table 8, under 'Respect des périodes d'évaluation clinique et biologique,' it recommends 'Recherche des IST (gonorrhée, chlamydia, syphilis) lors du bilan initial puis à chaque visite'. Page 44, Table 9, shows 'Dépistage de la gonorrhée...' is performed at 'Initial' and '12 mois'.",yes,"DRC_National PrEP Guidelines.pdf: Page 43, Table 8, under 'Respect des périodes d'évaluation clinique et biologique,' it recommends 'Recherche des IST (gonorrhée, chlamydia, syphilis) lors du bilan initial puis à chaque visite'. Page 44, Table 9, shows 'Dépistage de la gonorrhée, de la chlamydia...' is performed at 'Initial' and '12 mois'."
DNK,Denmark,no,Justification not provided,yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, under 'Survey for:', it lists 'island Hepatitis A + B + C'. Page 5 recommends testing for 'HBs antigen' every 6 months for previously uninfected and non-vaccinated individuals.",yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4 states, 'In case of negative Hepatitis A and / or B serology, vaccination should be offered'.",no,Justification not provided,yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, under 'Survey for:', lists 'island Syphilis'. Page 5 recommends a 'Syphilis test' every 3 months during follow-up.",yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, under 'Survey for:', lists 'island Gonorrhea (urethra, pharynx and rectum)'. Page 5 recommends 'Screening for chlamydia and gonorrhea' every 3 months.",yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, under 'Survey for:', lists 'island Chamydia (urethra, pharynx and rectum)'. Page 5 recommends 'Screening for chlamydia and gonorrhea' every 3 months."
ECU,Ecuador,no,Justification not provided,yes,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 144, Anexo 2. The table summarizing guidance for PrEP use states that to be eligible, a clinical assessment should be done including 'Infección documentada por Hepatitis B y estado de vacunación' (Documented Hepatitis B infection and vaccination status).",ERR: yes (REF: no),"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 144, Anexo 2. The table summarizing guidance for PrEP use states that to be eligible, a clinical assessment should be done including 'Infección documentada por Hepatitis B y estado de vacunación' (Documented Hepatitis B infection and vaccination status), which implies vaccination if the user is susceptible.",no,Justification not provided,no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: The document recommends general STI testing ('testeo de... ITS') every 3 months for PrEP users on page 18, but does not specifically name syphilis as one of the STIs to screen for in this context.",no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: The document recommends general STI testing ('testeo de... ITS') every 3 months for PrEP users on page 18, but does not specifically name Neisseria gonorrhoeae as one of the STIs to screen for in this context.",no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: The document recommends general STI testing ('testeo de... ITS') every 3 months for PrEP users on page 18, but does not specifically name Chlamydia trachomatis as one of the STIs to screen for in this context."
SLV,El Salvador,no,Justification not provided,yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 50, Anexo 2, Perfil de Laboratorio Clínico en la Implementación de la PrEP (cont.): The table specifies screening for Hepatitis B (VHB) using a rapid test for HBsAg at baseline/reinitiation ('Evaluación basal /reinicio') and at 6-month follow-up ('Consultas de seguimiento y reinicios: 6 meses').",ERR: yes (REF: no),"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 26, paragraph 2: During the initial consultation for PrEP, it is recommended to 'Establecer el estatus de vacunación para el Virus de Hepatitis B' (Establish the vaccination status for the Hepatitis B Virus).",no,Justification not provided,yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 50, Anexo 2, Perfil de Laboratorio Clínico en la Implementación de la PrEP (cont.): The table indicates screening for Syphilis at baseline/reinitiation ('Evaluación basal /reinicio'), at the prescription visit ('Consulta de prescripción'), and at follow-up visits at 3, 6, and 9 months ('Consultas de seguimiento y reinicios: 3, 6 y 9 meses').",yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 51, Anexo 2, Perfil de Laboratorio Clínico en la Implementación de la PrEP (cont.): The laboratory profile table specifies screening for 'Neisseria g.' at baseline/reinitiation ('Evaluación basal /reinicio').",yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 51, Anexo 2, Perfil de Laboratorio Clínico en la Implementación de la PrEP (cont.): The laboratory profile table specifies screening for 'Chlamydia t.' at baseline/reinitiation ('Evaluación basal /reinicio')."
ERI,Eritrea,no,Justification not provided,yes,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: Page 24, Table 3 'Baseline Investigations prior to PrEP initiation' lists 'Hepatitis B surface antigen (HBsAg)' with the rationale 'To identify undiagnosed hepatitis B infection'. Also, on page 29, section 2.4, it states 'every PrEP user should be tested for hepatitis B surface antigen (HBsAg)'.",no,Justification not provided,no,Justification not provided,no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: The document recommends 'Screening for STIs (syndromic/diagnostic)' on page 24, Table 3, and 'STI screening and treatment' on page 28, but does not specify screening for syphilis or Treponema pallidum.",no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: The document recommends 'Screening for STIs (syndromic/diagnostic)' on page 24, Table 3, and 'STI screening and treatment' on page 28, but does not specify screening for Neisseria gonorrhoeae.",no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: The document recommends 'Screening for STIs (syndromic/diagnostic)' on page 24, Table 3, and 'STI screening and treatment' on page 28, but does not specify screening for Chlamydia trachomatis."
EST,Estonia,no,Justification not provided,yes,"HIV_2019rj-hiv-web Translated.pdf: Page 55, Table 6, under 'Clinically suitable' states a requirement for 'Documented hepatitis B virus infection status (HBsAg, HBsAb, HBcAb) and vaccination status'.",ERR: yes (REF: no),"HIV_2019rj-hiv-web Translated.pdf: Page 55, Table 6, under 'Clinically suitable', the requirement to check 'vaccination status' for Hepatitis B implies a recommendation to vaccinate if the person is not immune.",no,Justification not provided,no,"HIV_2019rj-hiv-web Translated.pdf: The document recommends screening for 'bacterial STIs' in general for PrEP users (Page 56, Table 6), but does not specifically name syphilis or Treponema pallidum.",no,"HIV_2019rj-hiv-web Translated.pdf: The document recommends screening for 'bacterial STIs' in general for PrEP users (Page 56, Table 6), but does not specifically name Neisseria gonorrhoeae or gonorrhoea.",no,"HIV_2019rj-hiv-web Translated.pdf: The document recommends screening for 'bacterial STIs' in general for PrEP users (Page 56, Table 6), but does not specifically name Chlamydia trachomatis or chlamydia."
SWZ,Eswatini,no,"Eswatini  PrEP Implementation guide.pdf: The document mentions discussing disclosure to a partner (Page 13) and couples testing for HIV (Page 12), but there is no mention of STI partner management, testing, or treatment for sexual partners of PrEP users diagnosed with an STI other than HIV.",yes,"Eswatini  PrEP Implementation guide.pdf: Page 12, under 'PrEP minimum package', lists 'Hepatitis screening'. Page 14, in the table under 'INITIATION STEP', specifies 'Hepatitis B surface antigen' testing. The Annex on Page 25 also includes 'Take baseline HBsAg test' in the algorithm.",yes,"Eswatini  PrEP Implementation guide.pdf: Page 14, in the table under the 'Hepatitis B surface antigen' section, the plan of action for an HBsAg negative result is to: 'Offer hepatitis B vaccination if not previously completed at 0, 1, and 6 months (as per national hepatitis guidelines)'.",no,Eswatini  PrEP Implementation guide.pdf: The document does not contain any mention of Human Papillomavirus (HPV) or HPV vaccination.,no,"Eswatini  PrEP Implementation guide.pdf: The document recommends general 'STI screening' (Page 12) and 'Syndromic screening for STIs' (Page 14), but does not specify screening for syphilis or Treponema pallidum for asymptomatic individuals.",no,"Eswatini  PrEP Implementation guide.pdf: The document recommends general 'STI screening' (Page 12) and 'Syndromic screening for STIs' (Page 14), but does not specify screening for Neisseria gonorrhoeae (NG) or gonorrhea for asymptomatic individuals.",no,"Eswatini  PrEP Implementation guide.pdf: The document recommends general 'STI screening' (Page 12) and 'Syndromic screening for STIs' (Page 14), but does not specify screening for Chlamydia trachomatis (CT) or Chlamydia for asymptomatic individuals."
ETH,Ethiopia,ERR: yes (REF: no),"PrEP Implementation manual (1).pdf: Page 14, Table – 2: Initial visit procedures: The counseling section includes 'To assess intimate partner violence and gender-based violence.'",yes,"PrEP Implementation manual (1).pdf: Page 14, Table – 2: Initial visit procedures: 'Hepatitis B surface antigen' is listed as a required investigation at the initial visit.",no,Justification not provided,no,Justification not provided,no,Justification not provided,no,Justification not provided,no,Justification not provided
FJI,Fiji,no,Justification not provided,yes,"HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: Page 107, under the section 'Before starting PrEP, the person seeking PrEP should have the following', it lists 'Test for other STIs, and Hepatis B'. This is confirmed on page 109 under 'Baseline tests before initiating PrEP' which lists 'Test for other STI (e.g. syphilis and hepatitis)'.",no,Justification not provided,no,Justification not provided,yes,"HIV Care and Antiretroviral Therapy Guideline 3rd Edition 2022_Final Editable Version.pdf: Page 109, under 'Baseline tests before initiating PrEP', the guideline lists 'Test for other STI (e.g. syphilis and hepatitis)'.",no,Justification not provided,no,Justification not provided
FIN,Finland,ERR: no (REF: yes),"Finnish National PrEP guidelines 2019.fi.en.pdf: The document mentions sexual partners in the context of Hepatitis B vaccination (page 16), but does not mention partner notification, testing, or treatment for other STIs.",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7 recommends testing for 'S-HBsAg, S-HBcAb, S-HBsAb' before starting PrEP. Page 16 also states: 'Hepatitis A, B, and C antibodies and hepatitis B carrier (HbsAg) should be determined before initiating therapy.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, under 'HEPATITIS B STUDIES', states 'vaccination is recommended in the absence of protection'. Page 16 reinforces this: 'Hepatitis A and B vaccination is recommended if a person is not protected against these diseases.'",no,Justification not provided,yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, under 'SYPHILIS', recommends testing (S-TrpaAb) 'BEFORE GETTING STARTED' and 'EVERY 3 MONTHS'. Page 16 also states 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, under 'KLAMYDIA AND TYPPIR' (Chlamydia and Gonorrhea), recommends testing (CtGcNhO) 'BEFORE GETTING STARTED' and 'EVERY 3 MONTHS'. Page 16 confirms this: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'",yes,"Finnish National PrEP guidelines 2019.fi.en.pdf: Page 14, Table 7, under 'KLAMYDIA AND TYPPIR' (Chlamydia and Gonorrhea), recommends testing (CtGcNhO) 'BEFORE GETTING STARTED' and 'EVERY 3 MONTHS'. Page 16 confirms this: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'"
FRA,France,no,French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 11 mentions partner notification for STIs in general but states that France lacks the framework for it. There is no specific recommendation for partner management in the context of PrEP services.,yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 27, Table 4, ""Laboratory tests to be performed before the initiation of PrEP and during follow-up"", lists ""HBV serology"" as a required test before initiation and for follow-up.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 27 states that at the first consultation for PrEP, the practitioner decides on ""the necessary vaccinations according to the screening laboratory workup."" Page 15, Box 3, which provides screening strategies for populations including those eligible for PrEP, recommends ""HBV serologies... followed by vaccination in case of negative serologies.""",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 29 recommends that ""access to the HPV vaccine should be systematically offered and available in CeGIDDs and vaccination centers to... MSM up to the age of 26 years."" CeGIDDs are mentioned as key locations for PrEP delivery.",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 27, Table 4, recommends ""STI screening"" before the initiation of PrEP and during follow-up. A footnote clarifies this includes screening for ""syphilis"".",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 27, Table 4, recommends ""STI screening"" before the initiation of PrEP and during follow-up. A footnote clarifies this includes screening for ""gonococcal infection"".",yes,"French guidelines experts-vih_prevention-depistage  2018.fr.en.pdf: Page 27, Table 4, recommends ""STI screening"" before the initiation of PrEP and during follow-up. A footnote clarifies this includes screening for ""chlamydia""."
GEO,Georgia,no,Justification not provided,yes,"GEO PEP and PrEP Guidelines.pdf: Page 16, under the 'Every six months' section, lists 'HBV serology (HBsAg, anti-HBc, anti-HBs)'. Table 5 on page 17 also lists 'HBV serology (HBsAg, anti-HBc, anti-HBs)' at the initial phase.",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11 states: 'HBV serological status must be determined before PrEP initiation. If the result is negative, the test should be repeated every 6 months. If HBV seromarkers are not detected, beneficiary should be offered hepatitis B vaccination;'",no,Justification not provided,yes,"GEO PEP and PrEP Guidelines.pdf: Page 11 states 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes a serologic test for syphilis...'. Page 16, under the 'Every six months' section, lists 'Serological test for syphilis'.",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11 states 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes... nucleic acid-based molecular tests for gonorrhea and chlamydia.' Page 16, under the 'Every six months' section, lists 'Nucleic acid-based molecular testing on urine samples to detect gonorrhea and chlamydia'.",yes,"GEO PEP and PrEP Guidelines.pdf: Page 11 states 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes... nucleic acid-based molecular tests for gonorrhea and chlamydia.' Page 16, under the 'Every six months' section, lists 'Nucleic acid-based molecular testing on urine samples to detect gonorrhea and chlamydia'."
DEU,Germany,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 26, under 'Abstimmung des Leitlinien-Gesamttexts', states: 'Eine Partner*innen-Mitbehandlung wird empfohlen.' which translates to 'Partner co-treatment is recommended.' This is mentioned in the context of STI therapy.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Recommendation 1.6, lists 'Ausschluss einer replikativen Hepatitis-B-Infektion mittels Serologie (HBs-Antigen, anti-HBc-Antikörper)' which translates to 'Exclusion of a replicative hepatitis B infection by means of serology (HBs antigen, anti-HBc antibody)'. Additionally, the table on page 20 confirms screening for HBsAg, antiHBsAk, and antiHBcAk before starting PrEP.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: Page 15, Recommendation 1.6, mentions: '...bzw. Prüfung der HBV-Immunität (HBs-Antikörper, ggfs. Impfung gegen HBV)' which translates to '...or checking for HBV immunity (HBs antibodies, if necessary vaccination against HBV)'.",no,Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The document does not contain any mention of Human Papillomavirus (HPV) or its vaccine.,yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The table on page 20, under '2.1 Notwendige Begleit- und Laboruntersuchungen', lists 'Lues-Serologie' (Syphilis serology) to be performed before starting PrEP, every 3 months during PrEP, and at the end of PrEP.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The table on page 20, under '2.1 Notwendige Begleit- und Laboruntersuchungen', lists 'Gonorrhoe-NAAT**' to be performed before starting PrEP and every 3-6 months during PrEP from pharyngeal, anorectal, and genital sites.",yes,"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf: The table on page 20, under '2.1 Notwendige Begleit- und Laboruntersuchungen', lists 'Chlamydien-NAAT**' to be performed before starting PrEP and every 3-6 months during PrEP from pharyngeal, anorectal, and genital sites."
GHA,Ghana,no,Justification not provided,yes,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: Page 149, under 'Summary of Pre-exposure prophylaxis visits and procedures', it states: ""Conduct relevant laboratory tests—HIV test, Creatinine Clearance and HBsAg and Confirm eligibility"" for initiation. For follow-up, it states: ""3 monthly afterwards—HIV test, Pregnancy test, HBsAg (at 6 months only).""",no,Justification not provided,no,Justification not provided,yes,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: Page 150, under follow-up procedures, it states: ""6 monthly afterwards—CrCl, STI symptom screening, rapid syphilis test and HIV test.""",no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: The document mentions ""Provide STI treatment if indicated"" and ""STI symptom screening"" (Page 149-150), but does not specifically name Neisseria gonorrhoeae or gonorrhea for screening.",no,"Finale_CONSOLIDATED GUIDELINES FOR HIV CARE IN GHANA _booklet copy NEW FINAL (2).pdf: The document mentions ""Provide STI treatment if indicated"" and ""STI symptom screening"" (Page 149-150), but does not specifically name Chlamydia trachomatis or Chlamydia for screening."
GUY,Guyana,ERR: yes (REF: no),"PrEP Guyana Guidelines Final.pdf: Page 52, Item 5: 'discussing HIV and STI status and/or testing with partner'. Page 57, 'Additional Notes': 'Counsel on ... intimate partner violence'.",yes,"PrEP Guyana Guidelines Final.pdf: Page 22, Table 1: Recommends testing for 'HBV (Hepatitis B surface antigen (HBsAg))' before starting PrEP.",yes,"PrEP Guyana Guidelines Final.pdf: Page 22, Table 1: For HBV (Hepatitis B surface antigen (HBsAg)), it states 'If HBsAg is not detected, consider vaccination'.",ERR: yes (REF: no),"PrEP Guyana Guidelines Final.pdf: Page 59, Annex 6: 'Depending on local guidelines, epidemiology and populations, consider vaccination for human papilloma virus.'",yes,"PrEP Guyana Guidelines Final.pdf: Page 22, Table 1: Recommends screening for 'Syphilis (treponemal antibodies)' and 'Syphilis (rapid plasma reagintiter)' before starting PrEP, with follow-up testing every three to six months.",yes,"PrEP Guyana Guidelines Final.pdf: Page 22, Table 1: Recommends screening for 'Neisseria gonorrhoeae (GC)' before starting PrEP, with follow-up testing every three to six months.",yes,"PrEP Guyana Guidelines Final.pdf: Page 22, Table 1: Recommends screening for 'Chlamydia trachomatis (CT)' before starting PrEP, with follow-up testing every three to six months."
HTI,Haiti,no,Justification not provided,yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 10, Section 4. Bilan Initial: 'Antigène HBs si disponible (antigène de surface de l'hépatite B)'.",ERR: yes (REF: no),"PrEP_ Haiti Guidelines Final_.pdf: Page 19, ANNEXE 4, Section F: 'Si le résultat est négatif, quelles sont les dates de vaccination VHB qui ont été fournies'. This implies that vaccination is recommended for HBV-negative individuals.",no,Justification not provided,yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 10, Section 4. Bilan Initial: 'Tests de dépistage rapide du VIH et de la syphilis'.",yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 11, Section 6. Suivi du Client Placé Sous PrEP: 'Effectuer des tests d'IST recommandés pour toute personne sexuellement active (syphilis, gonorrhée, chlamydia).'",yes,"PrEP_ Haiti Guidelines Final_.pdf: Page 11, Section 6. Suivi du Client Placé Sous PrEP: 'Effectuer des tests d'IST recommandés pour toute personne sexuellement active (syphilis, gonorrhée, chlamydia).'"
HND,Honduras,ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 36, item 5: The guidance recommends to '[e]xplore partner violence and refer to services when appropriate' ('Explorar violencia de pareja y referir a los servicios cuando proceda.').",yes,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 22, section 7.7.1.2.6 recommends testing for Hepatitis B surface antigen (HBsAg) as an additional laboratory test ('Pruebas diagnósticas de detección de ITS: Antígeno de superficie del virus de Hepatitis B (HBsAg)').",yes,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 22, section 7.7.1.2.6: 'If the results are negative for HBV, consider vaccination against HBV' ('Si los resultados son negativos para el VHB, considerar la vacunación contra el VHB.'). This is also mentioned on page 13 and page 22 (section 7.7.1.3.2).",ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 22, section 7.7.1.3.2: '...consider vaccination against hepatitis A and HBV, the human papillomavirus (HPV) according to current national regulations' ('...considerar la vacunación contra la hepatitis A y VHB, el virus del papiloma humano (VPH) según normativa nacional vigente').",yes,"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 22, section 7.7.1.2.6 recommends testing for syphilis ('Prueba para diagnosticar y tratar la sífilis según normativa.'). The form in Annex 7 also specifies a diagnostic test for Syphilis (Page 47).",ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 47, Annex 7: The 'Form for pre-exposure prophylaxis (PrEP) for HIV infection' includes 'Gonorrea' (Gonorrhea) as a specific diagnostic test to be performed under the section for Sexually Transmitted Infections (ITS).",ERR: yes (REF: no),"Honduras_LINEAMIENTOS PARA PROVEER LA PrEP RESOLUCION 2022 FINAL copy.pdf: Page 47, Annex 7: The 'Form for pre-exposure prophylaxis (PrEP) for HIV infection' includes 'Clamidia' (Chlamydia) as a specific diagnostic test to be performed under the section for Sexually Transmitted Infections (ITS)."
ISL,Iceland,no,Justification not provided,yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 1, under 'First come', lists 'Antibody testing against HIV, syphilis and hepatitis B and C'. Page 3, Figure 2, also shows blood tests for HBV at weeks 11, 23, 35, and 47.",no,Justification not provided,no,Justification not provided,yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 1, under 'First come', lists 'Antibody testing against HIV, syphilis and hepatitis B and C'. Page 3, Figure 2, also shows blood tests for syphilis at weeks 11, 23, 35, and 47.",yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 3, Figure 2, shows screening for 'Chlamydia and gonorrhea' at weeks 12, 24, 36, and 48. Page 3 also mentions monitoring for 'symptoms of acute HIV infection, chlamydia and gonorrhea'.",yes,"Iceland_PrEP_guidelines_2018.is.en.pdf: Page 3, Figure 2, shows screening for 'Chlamydia and gonorrhea' at weeks 12, 24, 36, and 48. Page 3 also mentions monitoring for 'symptoms of acute HIV infection, chlamydia and gonorrhea'."
IND,India,yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 34, in the table for STI management, under syndromes like 'Urethral discharge' and 'Cervical discharge syndrome', it lists 'Partner/s treatment' as part of the management plan.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, the table 'Baseline investigations' lists 'HBsAg' as a required investigation with the rationale 'To assess Hepatitis B, specifically in MSM, TG/TS and IDU population'.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, in the 'Baseline investigations' table, under the rationale for HBsAg screening, it states: 'If negative, consider vaccination against hepatitis B'. Also, page 48 states 'Hepatitis B vaccination is recommended for people at substantial risk of HBV or HIV infection.'",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 39, in the summary table under the 'Vaccination' section, it recommends 'Human papillomavirus vaccine (and expand on this)'.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, the 'Baseline investigations' table lists 'VDRL/RPR' with the rationale 'To rule out syphilis'. It also explicitly states 'Screen for syphilis -RPR/VDRL Test' under STI screening.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, in the 'Baseline investigations' table under STI screening for settings with diagnostic facilities, it states: 'For MSM and TG/TS, NAAT testing is recommended for chlamydia and gonorrhoea... (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct).' and 'For females, NAAT testing is recommended for gonorrhoea... (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct)...'.",yes,"India_NACO PrEP technical guidelines - May 2022 copy.pdf: Page 36, in the 'Baseline investigations' table under STI screening for settings with diagnostic facilities, it states: 'For MSM and TG/TS, NAAT testing is recommended for chlamydia and gonorrhoea... (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct).'"
IDN,Indonesia,no,Justification not provided,yes,"Indonesia_Juknis PrEP_ENG.pdf: Page 31, Table 3.6 lists 'Hepatitis B (HBsAg)' as a prerequisite for PrEP for potential MSM users choosing a PrEP-ED regimen.",yes,"Indonesia_Juknis PrEP_ENG.pdf: Page 76, Appendix 6, in the follow-up column for a non-reactive HBsAg test, states: 'If HBsAg is nonreactive but at risk for Hep B, recommend Hep B vaccine.'",no,Justification not provided,yes,"Indonesia_Juknis PrEP_ENG.pdf: Page 31 states, 'STI screening can be done based on a syndromic approach and simple laboratory tests, including syphilis, which are available at health facilities.' Page 76, Appendix 6, also lists STI examination '(including syphilis)'.",ERR: no (REF: yes),Indonesia_Juknis PrEP_ENG.pdf: The document mentions gonorrhea as an STI not prevented by PrEP (Page 23) but does not specifically recommend screening for it. The guidance refers to a general 'syndromic approach' for STIs.,ERR: no (REF: yes),Indonesia_Juknis PrEP_ENG.pdf: The document mentions chlamydia as an STI not prevented by PrEP (Page 23) but does not specifically recommend screening for it. The guidance refers to a general 'syndromic approach' for STIs.
